Itr,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,AverageTrainReward,StdTrainReward,MinTrainReward,MaxTrainReward,EvalEpLen,TrainEpLen,TotalEnvInteracts,Time,Training loss,Entropy,KL Divergence,Search Direction,Step Size,BackTrack Itr,Improve,Baseline loss
55,142.07489,121.45611,-28.89267,258.8468,281.32993,21.135288,236.2026,299.60318,236.6,302.57142857142856,119986,1.5863330721855164,-0.010410475,0.71484435,0.0073003373,7.310006e-06,0.72224045,0,0.022643404,0.88923997
56,174.70328,114.867775,-47.300144,264.15308,274.3172,15.325788,242.81651,297.0421,352.2,318.14285714285717,122213,1.621850856145223,-0.05507226,0.7098027,0.006039564,8.18814e-06,0.8520175,0,0.027587477,0.77258575
57,197.30702,148.75626,-98.23494,289.9883,284.4127,7.81995,270.61786,293.07654,306.0,291.7142857142857,124255,1.6465503931045533,0.024792708,0.67647606,0.007973928,1.3711511e-05,1.3489001,0,0.014451062,0.59255636
58,60.907204,133.93344,-58.421005,262.00308,160.35805,141.51988,-29.735413,301.03622,247.4,373.8333333333333,126498,1.6765624403953552,0.09627281,0.6461932,0.008529775,-1.1961494e-05,0.6099108,0,0.033939153,0.7599766
59,40.176353,79.211266,-28.43982,186.2363,288.33426,6.753129,273.35883,296.12408,565.0,287.125,128795,1.725689454873403,0.008234522,0.6662784,0.0052825813,3.3075572e-05,0.50989455,0,0.035349894,0.72063446
60,59.340614,137.64029,-82.32056,249.64505,287.87427,10.673237,263.85312,297.79117,273.4,274.375,130990,1.7488050580024719,-0.021132473,0.7179631,0.0073494194,3.883282e-05,0.6537603,0,0.03160545,0.619283
61,-3.5094802,109.60677,-82.57897,213.8206,280.87152,9.253699,262.28967,293.92294,190.4,276.625,133203,1.7648203730583192,0.038257208,0.70073956,0.0071599972,-3.6630831e-06,0.6322989,0,0.03575388,0.61283135
62,1.7263191,126.028206,-92.40024,250.8873,289.88812,9.110338,276.90463,302.1466,201.2,249.55555555555554,135449,1.7817379275957743,-0.010711357,0.57275003,0.005743905,2.8030587e-05,0.8933355,0,0.022099894,0.67328566
63,63.495594,152.43614,-64.37898,296.026,290.11258,5.297869,281.6164,296.76614,230.0,265.5,137573,1.8009444713592528,0.026971418,0.6164596,0.008685178,-5.361883e-06,0.82025635,0,0.02474195,0.5332633
64,171.27246,86.40563,52.76277,282.96924,295.6793,2.7175944,290.66537,298.94186,356.6,268.375,139720,1.829070520401001,-0.0027667235,0.6666944,0.0050529004,1.4728807e-05,0.8270583,0,0.02297758,0.51030135
65,53.11917,140.8204,-81.26258,231.74117,286.34186,4.48467,278.32977,291.86957,252.6,259.0,141792,1.8503414710362753,-0.044052448,0.6197845,0.0067123314,-1.0086657e-05,1.2172059,0,0.014633387,0.43642017
66,61.546886,155.66966,-114.43704,252.60312,276.24625,35.31042,192.66016,298.65625,325.4,291.57142857142856,143833,1.8772754033406576,-0.0788651,0.5636778,0.008295957,1.6660855e-05,0.8699095,0,0.02427812,0.75722945
67,23.500217,116.25661,-43.07162,254.97855,282.19562,10.17069,261.05322,295.47742,191.2,291.2857142857143,145872,1.8944874048233031,-0.028283043,0.66983736,0.007274854,-7.5368376e-07,0.7584347,0,0.036723636,0.47815818
68,11.981707,91.63756,-69.696594,187.44608,287.4899,10.764026,265.16254,296.75305,279.0,266.125,148001,1.9163500467936199,-0.03318373,0.6163983,0.00582348,4.6719492e-06,1.0969994,0,0.01827982,0.5799059
69,119.65309,138.78287,-54.734657,258.92038,291.7703,2.8279903,288.07224,295.82523,255.0,281.625,150254,1.936746641000112,0.009260007,0.62000364,0.0070656487,1.944943e-05,0.8633113,0,0.02351062,0.4028814
70,161.79794,143.46495,-123.89454,253.12778,288.2741,6.029947,274.79114,295.453,348.6,270.0,152414,1.9639650106430053,-0.017144674,0.59482265,0.006526465,-2.7131164e-05,0.9190252,0,0.023825144,0.47918186
71,148.13586,86.35428,-11.337875,226.13763,276.33344,5.024824,266.55237,282.537,380.2,269.0,154566,1.9946080168088278,-0.02377218,0.5953806,0.006738854,2.20963e-05,0.7877152,0,0.021274023,0.3786168
72,84.53169,118.69425,-59.485466,234.31775,239.99893,75.69625,40.689796,279.09055,273.4,263.5,156674,2.018232595920563,0.006739802,0.57422346,0.008463125,8.651747e-05,0.46531534,0,0.037329707,1.0435294
73,54.72535,98.022835,-19.317505,248.35745,254.98521,7.60914,248.13162,268.30127,214.8,329.2857142857143,158979,2.038831309477488,0.043872137,0.60100704,0.009144915,1.715339e-05,0.6949476,0,0.030207638,0.80991715
74,67.94753,101.89069,8.627796,270.8537,262.08807,7.6727753,254.19371,275.26614,224.2,287.7142857142857,160993,2.0575684905052185,0.01741356,0.6111322,0.006430117,2.2967475e-05,0.94614625,0,0.020677611,0.57048863
75,106.338646,111.873375,-19.173424,271.7397,257.12265,5.991643,248.4072,266.62476,339.4,349.6666666666667,163091,2.096333944797516,0.07802839,0.44563505,0.0071441983,-1.37284205e-05,0.6598422,1,0.024356086,0.750993
76,105.084496,98.39052,10.367676,247.49431,263.29602,5.0665307,258.0052,273.1012,371.6,288.7142857142857,165112,2.1272521217664084,-0.02997046,0.5451355,0.008888819,-3.3080683e-05,0.6183865,0,0.033102408,0.6811793
77,150.3469,95.61296,32.018257,262.32016,235.495,46.233177,132.40318,258.54926,279.6,495.0,168082,2.161894512176514,0.003999266,0.5909801,0.006055305,-1.0073062e-06,1.2228386,0,0.014808654,0.56709576
78,138.9269,100.4861,24.286533,262.28107,256.88483,8.442074,245.26038,269.59924,387.2,308.14285714285717,170239,2.196940533320109,-0.0074529755,0.5873612,0.0066979527,6.1326464e-06,0.7490812,0,0.024388377,0.82434994
79,80.92477,127.36885,-31.074926,248.1234,258.9526,7.8280344,245.75461,270.097,223.2,305.85714285714283,172380,2.2178539832433066,-0.03008708,0.61503625,0.00727731,1.62795e-05,0.7947067,0,0.024389233,0.64558
80,-9.924128,20.520838,-44.448944,17.496136,269.05228,7.2363033,253.27762,278.17395,227.4,261.25,174470,2.2361551483472186,0.0025178336,0.5999978,0.0077749346,2.700215e-05,0.4355181,0,0.045744937,0.40267852
81,124.297874,95.1816,12.33371,253.61343,259.65475,8.923327,246.68344,271.58478,315.6,291.7142857142857,176512,2.2640071590741475,0.018724825,0.57489777,0.007874455,-6.7714786e-06,1.099577,0,0.017988378,0.6510956
82,92.32506,100.53722,-3.5206165,243.65477,271.64343,4.042927,266.05878,277.35577,415.0,261.0,178600,2.306210255622864,0.002890888,0.59237707,0.007995386,1.946637e-05,0.82878786,0,0.021661066,0.32502738
83,155.95102,102.81251,28.888138,246.70985,266.56735,7.730368,251.03845,276.42148,227.0,272.375,180779,2.3255046327908833,-0.0015029275,0.547915,0.00834248,1.6507585e-06,0.6293518,0,0.031509686,0.5424396
